table_name	conname	contype	definition
workflow_published_version	FK_5c76fb7ee939fe2530374d3f75a	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE RESTRICT
workflow_published_version	FK_df3428a541b802d6a63ac56e330	f	FOREIGN KEY ("publishedVersionId") REFERENCES workflow_history("versionId") ON DELETE RESTRICT
workflow_published_version	PK_5c76fb7ee939fe2530374d3f75a	p	PRIMARY KEY ("workflowId")
workflow_publish_history	CHK_workflow_publish_history_event	c	CHECK (((event)::text = ANY ((ARRAY['activated'::character varying, 'deactivated'::character varying])::text[])))
workflow_publish_history	FK_6eab5bd9eedabe9c54bd879fc40	f	FOREIGN KEY ("userId") REFERENCES "user"(id) ON DELETE SET NULL
workflow_publish_history	FK_b4cfbc7556d07f36ca177f5e473	f	FOREIGN KEY ("versionId") REFERENCES workflow_history("versionId") ON DELETE SET NULL
workflow_publish_history	FK_c01316f8c2d7101ec4fa9809267	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
workflow_publish_history	PK_c788f7caf88e91e365c97d6d04a	p	PRIMARY KEY (id)
workflows_tags	fk_workflows_tags_tag_id	f	FOREIGN KEY ("tagId") REFERENCES tag_entity(id) ON DELETE CASCADE
workflows_tags	fk_workflows_tags_workflow_id	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
workflows_tags	pk_workflows_tags	p	PRIMARY KEY ("workflowId", "tagId")
workflow_statistics	workflow_statistics_pkey	p	PRIMARY KEY (id)
(303 rows)
