schemaname	tablename	indexname	indexdef
public	data_table	UQ_b23096ef747281ac944d28e8b0d	CREATE UNIQUE INDEX "UQ_b23096ef747281ac944d28e8b0d" ON public.data_table USING btree ("projectId", name)
public	data_table_column	PK_673cb121ee4a8a5e27850c72c51	CREATE UNIQUE INDEX "PK_673cb121ee4a8a5e27850c72c51" ON public.data_table_column USING btree (id)
public	data_table_column	UQ_8082ec4890f892f0bc77473a123	CREATE UNIQUE INDEX "UQ_8082ec4890f892f0bc77473a123" ON public.data_table_column USING btree ("dataTableId", name)
public	deployment_key	IDX_deployment_key_data_encryption_active	CREATE UNIQUE INDEX "IDX_deployment_key_data_encryption_active" ON public.deployment_key USING btree (type) WHERE (((status)::text = 'active'::text) AND ((type)::text = 'data_encryption'::text))
public	deployment_key	IDX_deployment_key_instance_id_active	CREATE UNIQUE INDEX "IDX_deployment_key_instance_id_active" ON public.deployment_key USING btree (type) WHERE (((status)::text = 'active'::text) AND ((type)::text = 'instance.id'::text))
public	deployment_key	IDX_deployment_key_jwe_private_key_active	CREATE UNIQUE INDEX "IDX_deployment_key_jwe_private_key_active" ON public.deployment_key USING btree (type, algorithm) WHERE (((status)::text = 'active'::text) AND ((type)::text = 'jwe.private-key'::text))
public	deployment_key	IDX_deployment_key_signing_binary_data_active	CREATE UNIQUE INDEX "IDX_deployment_key_signing_binary_data_active" ON public.deployment_key USING btree (type) WHERE (((status)::text = 'active'::text) AND ((type)::text = 'signing.binary_data'::text))
public	deployment_key	IDX_deployment_key_signing_hmac_active	CREATE UNIQUE INDEX "IDX_deployment_key_signing_hmac_active" ON public.deployment_key USING btree (type) WHERE (((status)::text = 'active'::text) AND ((type)::text = 'signing.hmac'::text))
public	deployment_key	IDX_deployment_key_signing_jwt_active	CREATE UNIQUE INDEX "IDX_deployment_key_signing_jwt_active" ON public.deployment_key USING btree (type) WHERE (((status)::text = 'active'::text) AND ((type)::text = 'signing.jwt'::text))
public	deployment_key	PK_94bb7aeb5def5a0284a5fe9f9a0	CREATE UNIQUE INDEX "PK_94bb7aeb5def5a0284a5fe9f9a0" ON public.deployment_key USING btree (id)
public	dynamic_credential_entry	IDX_62476b94b56d9dc7ed9ed75d3d	CREATE INDEX "IDX_62476b94b56d9dc7ed9ed75d3d" ON public.dynamic_credential_entry USING btree (subject_id)
public	dynamic_credential_entry	IDX_d61a12235d268a49af6a3c09c1	CREATE INDEX "IDX_d61a12235d268a49af6a3c09c1" ON public.dynamic_credential_entry USING btree (resolver_id)
public	dynamic_credential_entry	PK_5135ffcabecad4727ff6b9b803d	CREATE UNIQUE INDEX "PK_5135ffcabecad4727ff6b9b803d" ON public.dynamic_credential_entry USING btree (credential_id, subject_id, resolver_id)
public	dynamic_credential_resolver	IDX_9c9ee9df586e60bb723234e499	CREATE INDEX "IDX_9c9ee9df586e60bb723234e499" ON public.dynamic_credential_resolver USING btree (type)
public	dynamic_credential_resolver	PK_b76cfb088dcdaf5275e9980bb64	CREATE UNIQUE INDEX "PK_b76cfb088dcdaf5275e9980bb64" ON public.dynamic_credential_resolver USING btree (id)
public	dynamic_credential_user_entry	IDX_6edec973a6450990977bb854c3	CREATE INDEX "IDX_6edec973a6450990977bb854c3" ON public.dynamic_credential_user_entry USING btree ("resolverId")
public	dynamic_credential_user_entry	IDX_a36dc616fabc3f736bb82410a2	CREATE INDEX "IDX_a36dc616fabc3f736bb82410a2" ON public.dynamic_credential_user_entry USING btree ("userId")
public	dynamic_credential_user_entry	PK_74f548e633abc66dc27c8f0ca77	CREATE UNIQUE INDEX "PK_74f548e633abc66dc27c8f0ca77" ON public.dynamic_credential_user_entry USING btree ("credentialId", "userId", "resolverId")
public	evaluation_collection	IDX_a48ce930c3bc7604894b8f0eaa	CREATE INDEX "IDX_a48ce930c3bc7604894b8f0eaa" ON public.evaluation_collection USING btree ("workflowId")
public	evaluation_collection	IDX_d634a0c93fd7de68a87eab951b	CREATE INDEX "IDX_d634a0c93fd7de68a87eab951b" ON public.evaluation_collection USING btree ("evaluationConfigId")
public	evaluation_collection	PK_e720b6efc1e45b878ebb0b2ca30	CREATE UNIQUE INDEX "PK_e720b6efc1e45b878ebb0b2ca30" ON public.evaluation_collection USING btree (id)
public	evaluation_config	IDX_fd7542bb123074760285dc1bbf	CREATE INDEX "IDX_fd7542bb123074760285dc1bbf" ON public.evaluation_config USING btree ("workflowId")
public	evaluation_config	PK_59c14dccf8989df94070c2dcfda	CREATE UNIQUE INDEX "PK_59c14dccf8989df94070c2dcfda" ON public.evaluation_config USING btree (id)
public	evaluation_config	UQ_3c3c99a712e971835c52292e44c	CREATE UNIQUE INDEX "UQ_3c3c99a712e971835c52292e44c" ON public.evaluation_config USING btree ("workflowId", name)
public	event_destinations	event_destinations_pkey	CREATE UNIQUE INDEX event_destinations_pkey ON public.event_destinations USING btree (id)
public	execution_annotation_tags	IDX_a3697779b366e131b2bbdae297	CREATE INDEX "IDX_a3697779b366e131b2bbdae297" ON public.execution_annotation_tags USING btree ("tagId")
public	execution_annotation_tags	IDX_c1519757391996eb06064f0e7c	CREATE INDEX "IDX_c1519757391996eb06064f0e7c" ON public.execution_annotation_tags USING btree ("annotationId")
public	execution_annotation_tags	PK_979ec03d31294cca484be65d11f	CREATE UNIQUE INDEX "PK_979ec03d31294cca484be65d11f" ON public.execution_annotation_tags USING btree ("annotationId", "tagId")
public	execution_annotations	IDX_97f863fa83c4786f1956508496	CREATE UNIQUE INDEX "IDX_97f863fa83c4786f1956508496" ON public.execution_annotations USING btree ("executionId")
public	execution_annotations	PK_7afcf93ffa20c4252869a7c6a23	CREATE UNIQUE INDEX "PK_7afcf93ffa20c4252869a7c6a23" ON public.execution_annotations USING btree (id)
public	execution_data	execution_data_pkey	CREATE UNIQUE INDEX execution_data_pkey ON public.execution_data USING btree ("executionId")
