table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default
public	client_notifications	9	payload	jsonb	jsonb	YES	
public	client_notifications	10	created_at	timestamp with time zone	timestamptz	NO	now()
public	client_notifications	11	updated_at	timestamp with time zone	timestamptz	NO	now()
public	clients	1	id	bigint	int8	NO	nextval('clients_id_seq'::regclass)
public	clients	2	restaurant_id	bigint	int8	NO	
public	clients	3	full_name	text	text	YES	
public	clients	4	phone	text	text	YES	
public	clients	5	email	text	text	YES	
public	clients	6	channel_type	text	text	YES	
public	clients	7	channel_value	text	text	YES	
public	clients	8	created_at	timestamp with time zone	timestamptz	NO	now()
public	clients	9	updated_at	timestamp with time zone	timestamptz	NO	now()
public	clients	10	is_new_customer	boolean	bool	NO	true
public	clients	11	notes	text	text	YES	
public	clients	12	preferences	jsonb	jsonb	YES	
public	clients	13	consent_notifications	boolean	bool	NO	true
public	clients	14	consent_marketing	boolean	bool	NO	false
public	conversation_states	1	id	bigint	int8	NO	nextval('conversation_states_id_seq'::regclass)
public	conversation_states	2	restaurant_id	bigint	int8	YES	
public	conversation_states	3	conversation_id	text	text	NO	
public	conversation_states	4	channel_type	text	text	NO	
public	conversation_states	5	channel_value	text	text	YES	
public	conversation_states	6	state	jsonb	jsonb	NO	'{}'::jsonb
public	conversation_states	7	last_message_at	timestamp with time zone	timestamptz	YES	
public	conversation_states	8	created_at	timestamp with time zone	timestamptz	NO	now()
public	conversation_states	9	updated_at	timestamp with time zone	timestamptz	NO	now()
public	credential_dependency	1	id	integer	int4	NO	
public	credential_dependency	2	credentialId	character varying	varchar	NO	
public	credential_dependency	3	dependencyType	character varying	varchar	NO	
public	credential_dependency	4	dependencyId	character varying	varchar	NO	
public	credential_dependency	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	credentials_entity	2	name	character varying	varchar	NO	
public	credentials_entity	3	data	text	text	NO	
public	credentials_entity	4	type	character varying	varchar	NO	
public	credentials_entity	6	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	credentials_entity	7	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	credentials_entity	8	id	character varying	varchar	NO	
public	credentials_entity	9	isManaged	boolean	bool	NO	false
public	credentials_entity	10	isGlobal	boolean	bool	NO	false
public	credentials_entity	11	isResolvable	boolean	bool	NO	false
public	credentials_entity	12	resolvableAllowFallback	boolean	bool	NO	false
public	credentials_entity	13	resolverId	character varying	varchar	YES	
public	data_table	1	id	character varying	varchar	NO	
public	data_table	2	name	character varying	varchar	NO	
public	data_table	3	projectId	character varying	varchar	NO	
public	data_table	4	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
